"","Top.Module","Measure","Variables_Names"
"16","66_105_106","3377.97906480527","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkBusAddrAuthRep2Owned"
"17","66_107_169","3377.9786383997","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2SSNOnFile"
"18","100_101_107","3369.70814378593","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2"
"19","100_107_130","3368.93515912437","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__AssociateWatchlistCount"
"20","100_105_130","3368.93515912437","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateWatchlistCount"
"21","100_107_168","3358.12155323644","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
"22","100_105_168","3358.12155323644","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
"23","100_105_169","3358.11919727581","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2SSNOnFile"
"24","66_105_124","3350.29590184257","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateBankrupt1YearCount"
"25","66_105_189","3319.0626278543","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__SecurityStatementPresent"
"26","100_107_189","3307.19901767178","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__SecurityStatementPresent"
"27","100_105_189","3307.19901767178","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__SecurityStatementPresent"
"28","66_107_121","3298.9284744397","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony"
"29","66_105_120","3298.9284744397","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount"
"30","66_105_121","3298.9284744397","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateCountWithFelony"
"31","100_105_120","3286.39599114016","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount"
"32","66_105_188","3240.94949000413","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__SSNAddressVariance"
"33","100_105_188","3239.00269625042","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__SSNAddressVariance"
"34","59_65_100_107","3238.09347020619","OrgLegalEntityCount__BankruptcyCount__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2"
"35","66_107","3157.76433509451","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2"
"36","66_105","3157.76433509451","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2"
