"","Var","Score","Variables_Names"
"148","10_16","19.1654","TotalInquiries__PctNegTradesNow"
"149","15_40_179","19.1596","NowDelinquentDerog__FS12__BusAddrPersonNameOverlap"
"150","20_46_111","19.1416","OldesttradeopenYearsAgo__FS27__BusExecLinkInquiryOverlapCount3"
"151","16_34_189","19.1039","PctNegTradesNow__FS2__SecurityStatementPresent"
"152","20_110_175","19.0921","OldesttradeopenYearsAgo__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneBusPhone"
"153","20_46_127","19.0842","OldesttradeopenYearsAgo__FS27__AssociateJudgmentCount"
"154","20_175","19.0782","OldesttradeopenYearsAgo__BusExecLinkAuthRep2PhoneBusPhone"
"155","20_111_128","19.0554","OldesttradeopenYearsAgo__BusExecLinkInquiryOverlapCount3__AssociateCountWithJudgment"
"156","8_184","19.0194","RealEstatePayment__IP224_SCORE"
"157","20_165_169","18.9932","OldesttradeopenYearsAgo__BusExecLinkAuthRepPhoneBusPhone__BusExecLinkAuthRep2SSNOnFile"
"158","4_90_184","18.9898","RealEstateBalance__UCCTimeNewest__IP224_SCORE"
"159","20_41_169","18.9835","OldesttradeopenYearsAgo__FS13__BusExecLinkAuthRep2SSNOnFile"
"160","20_105_165","18.9739","OldesttradeopenYearsAgo__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRepPhoneBusPhone"
"161","16_40","18.9511","PctNegTradesNow__FS12"
"162","20_34_165","18.9474","OldesttradeopenYearsAgo__FS2__BusExecLinkAuthRepPhoneBusPhone"
"163","20_41_140","18.9357","OldesttradeopenYearsAgo__FS13__InputCheckAuthRep2SSN"
"164","16_34_41","18.9308","PctNegTradesNow__FS2__FS13"
"165","20_139_165","18.8908","OldesttradeopenYearsAgo__InputCheckAuthRep2State__BusExecLinkAuthRepPhoneBusPhone"
"166","16_45_109","18.8435","PctNegTradesNow__FS20__BusExecLinkPropertyOverlapCount3"
"167","15_45_189","18.8379","NowDelinquentDerog__FS20__SecurityStatementPresent"
"168","6_25_189","18.7346","PastDueAmount__SocialCount__SecurityStatementPresent"
"169","16_45_46","18.7191","PctNegTradesNow__FS20__FS27"
"170","16_45_53","18.7136","PctNegTradesNow__FS20__FirmAgeEstablished"
"171","20_165","18.7121","OldesttradeopenYearsAgo__BusExecLinkAuthRepPhoneBusPhone"
"172","16_34_53","18.7002","PctNegTradesNow__FS2__FirmAgeEstablished"
"173","20_110_185","18.6985","OldesttradeopenYearsAgo__BusExecLinkUtilityOverlapCount3__IP224_SCOREind"
"174","70_90_141_184","18.6533","LienCount12Month__UCCTimeNewest__InputCheckAuthRep2Phone__IP224_SCORE"
"175","20_34","18.6514","OldesttradeopenYearsAgo__FS2"
"176","8_20_173","18.6513","RealEstatePayment__OldesttradeopenYearsAgo__BusExecLinkAuthRep2SSNBusFEIN"
"177","20_46","18.6432","OldesttradeopenYearsAgo__FS27"
"178","1_16_65_87_124","18.6179","DisputedAccountsExcluded__PctNegTradesNow__BankruptcyCount__AssetAircraftCount__AssociateBankrupt1YearCount"
"179","20_169","18.6159","OldesttradeopenYearsAgo__BusExecLinkAuthRep2SSNOnFile"
"180","20_127_140","18.6069","OldesttradeopenYearsAgo__AssociateJudgmentCount__InputCheckAuthRep2SSN"
"181","28_37_65","18.5849","FICO2.SCORE__FS9__BankruptcyCount"
